ID,region,tenure,age,marital,address,income,ed,retire,gender,voice,internet,forward,custcat,churn,CLV
1,Zone 2,13,44,Married,9,64,College degree,No,Male,No,No,Yes,Basic service,Yes,255.24630822230029
2,Zone 3,11,33,Married,7,136,Post-undergraduate degree,No,Male,Yes,No,Yes,Total service,Yes,280.21004743384924
3,Zone 3,68,52,Married,24,116,Did not complete high school,No,Female,No,No,No,Plus service,No,310.7900525307689
4,Zone 2,33,33,Unmarried,12,33,High school degree,No,Female,No,No,No,Basic service,Yes,239.16028051887895
5,Zone 2,23,30,Married,9,30,Did not complete high school,No,Male,No,No,Yes,Plus service,No,289.10885769151764
6,Zone 2,41,39,Unmarried,17,78,High school degree,No,Female,No,No,No,Plus service,No,297.5835775944938
7,Zone 3,45,22,Married,2,19,High school degree,No,Female,No,Yes,No,E-service,Yes,244.876985957667
8,Zone 2,38,35,Unmarried,5,76,High school degree,No,Male,Yes,Yes,Yes,Total service,No,216.87636447819335
9,Zone 3,45,59,Married,7,166,College degree,No,Male,No,No,Yes,Plus service,No,305.2684976804542
10,Zone 1,68,41,Married,21,72,Did not complete high school,No,Male,No,No,No,E-service,No,309.405177334206
11,Zone 2,5,33,Unmarried,10,125,College degree,No,Female,No,Yes,No,Basic service,Yes,161.0871074627408
12,Zone 3,7,35,Unmarried,14,80,High school degree,No,Female,Yes,No,Yes,Plus service,No,274.32165176982005
13,Zone 1,41,38,Married,8,37,High school degree,No,Female,No,No,No,Basic service,No,269.7085844260237
14,Zone 2,57,54,Married,30,115,College degree,No,Female,Yes,Yes,Yes,Total service,Yes,299.63720841145295
15,Zone 2,9,46,Unmarried,3,25,Did not complete high school,No,Female,No,No,No,Basic service,No,244.71134256638692
16,Zone 1,29,38,Married,12,75,Post-undergraduate degree,No,Male,No,Yes,No,E-service,No,279.0853084306298
17,Zone 3,60,57,Unmarried,38,162,High school degree,No,Male,No,No,Yes,Plus service,No,311.1148040384128
18,Zone 3,34,48,Unmarried,3,49,High school degree,No,Female,No,No,Yes,Plus service,No,287.25644095469033
19,Zone 2,1,24,Unmarried,3,20,Did not complete high school,No,Male,No,No,No,Basic service,No,197.37358491380667
20,Zone 1,26,29,Married,3,77,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,213.70834471696736
21,Zone 3,6,30,Unmarried,7,16,Some college,No,Female,No,Yes,No,E-service,Yes,243.0896895221892
22,Zone 1,68,52,Married,17,120,Did not complete high school,No,Male,No,No,Yes,Basic service,No,298.0391287486628
23,Zone 3,53,33,Unmarried,10,101,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,No,211.40921507998442
24,Zone 3,55,48,Married,19,67,Did not complete high school,No,Male,No,No,No,Basic service,No,300.44214469786505
25,Zone 3,14,43,Married,18,36,Did not complete high school,No,Male,No,No,Yes,Plus service,No,306.66063673719077
26,Zone 2,1,21,Unmarried,0,33,High school degree,No,Female,No,No,Yes,Plus service,No,227.46212605452803
27,Zone 2,42,40,Unmarried,7,37,High school degree,No,Female,Yes,Yes,No,Total service,No,240.11375062744779
28,Zone 3,25,33,Married,11,31,Did not complete high school,No,Male,No,No,Yes,Plus service,No,297.4788807000856
29,Zone 1,9,21,Married,1,17,High school degree,No,Female,No,No,No,Basic service,No,216.53102976774503
30,Zone 2,13,33,Married,9,19,College degree,No,Female,No,Yes,No,E-service,No,256.3001477398505
31,Zone 1,56,37,Married,6,36,Did not complete high school,No,Female,No,Yes,No,E-service,No,279.6216529809279
32,Zone 1,71,53,Married,27,155,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,No,299.8229162854561
33,Zone 1,35,50,Married,26,140,High school degree,No,Female,No,No,Yes,Plus service,No,310.04916488865103
34,Zone 1,11,27,Married,8,55,Post-undergraduate degree,No,Male,No,Yes,No,E-service,No,252.14189359772544
35,Zone 2,60,46,Married,13,163,Some college,No,Male,Yes,Yes,Yes,Total service,No,284.12225473924894
36,Zone 3,20,35,Married,11,52,College degree,No,Male,No,Yes,No,E-service,Yes,275.4370986251958
37,Zone 2,54,60,Unmarried,38,211,College degree,No,Male,Yes,Yes,No,Total service,No,306.1155620743601
38,Zone 1,44,57,Married,1,186,High school degree,No,Male,Yes,No,Yes,Plus service,No,298.2082981139211
39,Zone 1,11,41,Married,0,39,Did not complete high school,No,Female,Yes,No,Yes,Plus service,Yes,274.6556184839211
40,Zone 2,72,57,Unmarried,34,22,High school degree,Yes,Female,No,No,Yes,Plus service,No,309.53234457909105
41,Zone 3,10,41,Unmarried,7,30,Did not complete high school,No,Male,No,No,Yes,Plus service,No,288.02556404461814
42,Zone 2,15,28,Unmarried,0,29,High school degree,No,Female,No,No,Yes,Plus service,No,242.16624630741876
43,Zone 2,27,28,Married,4,23,High school degree,No,Male,No,No,No,Basic service,No,238.4781919788162
44,Zone 1,9,36,Married,14,62,College degree,No,Male,Yes,Yes,No,Total service,Yes,267.5434295613638
45,Zone 1,64,43,Married,20,76,College degree,No,Female,No,No,No,Plus service,No,305.2981052159564
46,Zone 1,65,41,Married,3,74,College degree,No,Male,Yes,Yes,No,E-service,No,244.50371547542917
47,Zone 1,49,51,Married,27,63,College degree,No,Male,No,Yes,No,E-service,No,304.87347779809687
48,Zone 3,47,41,Married,0,36,College degree,No,Male,No,Yes,No,Total service,Yes,268.1899965797029
49,Zone 3,9,34,Married,9,33,High school degree,No,Female,No,No,No,Basic service,Yes,267.5660573193252
50,Zone 1,5,36,Unmarried,14,29,High school degree,No,Female,No,Yes,Yes,Plus service,Yes,253.09803124564388
51,Zone 2,30,34,Married,4,27,High school degree,No,Male,No,Yes,No,Basic service,Yes,197.75661477262813
52,Zone 1,56,52,Married,28,49,High school degree,No,Male,No,No,No,E-service,No,311.1148208948156
53,Zone 3,10,22,Unmarried,0,24,College degree,No,Male,Yes,Yes,Yes,Total service,No,148.2009262669506
54,Zone 1,7,26,Married,3,26,High school degree,No,Male,No,No,No,Basic service,No,238.05094118809575
55,Zone 1,52,27,Unmarried,6,47,Some college,No,Male,No,No,No,Basic service,No,216.79887922883705
56,Zone 2,36,45,Married,1,94,High school degree,No,Female,No,Yes,No,Basic service,Yes,218.19510212642922
57,Zone 3,27,34,Unmarried,8,21,Some college,No,Female,No,No,No,E-service,No,287.64193581624687
58,Zone 1,58,62,Married,36,27,Did not complete high school,No,Male,No,No,No,Basic service,No,310.19966508707114
59,Zone 2,41,52,Unmarried,27,30,High school degree,No,Female,No,No,Yes,Plus service,No,306.2687847189037
60,Zone 2,47,40,Married,16,127,College degree,No,Female,No,Yes,No,E-service,No,286.0442458747908
61,Zone 2,55,39,Married,15,137,High school degree,No,Female,Yes,No,Yes,Plus service,Yes,293.416744356841
62,Zone 2,56,50,Married,1,80,High school degree,No,Female,Yes,No,Yes,Total service,No,292.31734484318434
63,Zone 3,35,55,Unmarried,24,30,High school degree,No,Male,No,No,No,Basic service,No,298.1148756451016
64,Zone 2,69,51,Married,11,438,College degree,No,Female,No,Yes,No,Total service,No,302.5729937417343
65,Zone 2,44,39,Unmarried,16,79,High school degree,No,Male,No,Yes,Yes,Total service,Yes,276.708196669149
66,Zone 3,36,47,Married,16,63,Did not complete high school,No,Male,No,No,No,Basic service,No,297.2232526004478
